,feature_ID,¹à±â,ºÐ·ù,¸íÄª,À§µµ,°æµµ
193,Point_193,20,º¸¾Èµî,¿ª»ï1µ¿ 690-35,37.5068929925,127.042367266
194,Point_194,20,º¸¾Èµî,¿ª»ï1µ¿ 690-17,37.506723813,127.04177905200001
195,Point_195,20,º¸¾Èµî,¿ª»ï1µ¿ 690-24,37.506921978,127.04193750200001
196,Point_196,20,º¸¾Èµî,¿ª»ï1µ¿ 690-20,37.507073524,127.041435422
197,Point_197,20,º¸¾Èµî,¿ª»ï1µ¿ 686-20,37.5073979364,127.041290832
198,Point_198,20,º¸¾Èµî,¿ª»ï1µ¿ 689-34,37.5070304884,127.040824657
199,Point_199,20,º¸¾Èµî,¿ª»ï1µ¿ 670-1,37.5039069037,127.03750247200001
200,Point_200,20,º¸¾Èµî,¿ª»ï1µ¿ 670-3,37.503708726999996,127.037362135
201,Point_201,20,º¸¾Èµî,¿ª»ï1µ¿ 689-26,37.5061363962,127.041670149
202,Point_202,20,º¸¾Èµî,¿ª»ï1µ¿ 690-15,37.506449808,127.042059385
203,Point_203,20,º¸¾Èµî,¿ª»ï1µ¿ 817-5,37.5004497622,127.027634745
204,Point_204,20,º¸¾Èµî,¿ª»ï1µ¿ 817-20,37.5003378778,127.028308721
205,Point_205,20,º¸¾Èµî,¿ª»ï1µ¿ 817-23,37.500373882199995,127.028458014
206,Point_206,20,º¸¾Èµî,¿ª»ï1µ¿ 817-27,37.500701783800004,127.02872503200001
207,Point_207,20,º¸¾Èµî,¿ª»ï1µ¿ 817-38,37.5008747901,127.028670815
208,Point_208,20,º¸¾Èµî,¿ª»ï1µ¿ 620-9,37.5009830821,127.027956121
209,Point_209,20,º¸¾Èµî,¿ª»ï1µ¿ 817-26,37.5004747171,127.028779229
210,Point_210,20,º¸¾Èµî,¿ª»ï1µ¿ 817-22,37.5001792398,127.02856198299999
211,Point_211,20,º¸¾Èµî,¿ª»ï1µ¿791,37.494547138899996,127.03785512799999
212,Point_212,20,º¸¾Èµî,¿ª»ï1µ¿790-20,37.4947057783,127.03766070799999
213,Point_213,20,º¸¾Èµî,¿ª»ï1µ¿789-14,37.4948176692,127.037136065
214,Point_214,20,º¸¾Èµî,¿ª»ï1µ¿791-2,37.4946551447,127.038212521
215,Point_215,20,º¸¾Èµî,¿ª»ï1µ¿791-8,37.494564978,127.038416021
216,Point_216,20,º¸¾Èµî,¿ª»ï1µ¿791-5,37.4947919505,127.038664917
217,Point_217,20,º¸¾Èµî,¿ª»ï1µ¿791-6,37.4946657888,127.03872817799999
218,Point_218,20,º¸¾Èµî,¿ª»ï1µ¿791-10,37.494471371399996,127.038112915
219,Point_219,20,º¸¾Èµî,¿ª»ï1µ¿797-5,37.4948350019,127.03926201200001
220,Point_220,20,º¸¾Èµî,¿ª»ï1µ¿797-1,37.4949071619,127.039022316
221,Point_221,20,º¸¾Èµî,¿ª»ï1µ¿797-15,37.4944385002,127.039438211
222,Point_222,20,º¸¾Èµî,¿ª»ï1µ¿796-3,37.4939845205,127.03905349799999
223,Point_223,20,º¸¾Èµî,¿ª»ï1µ¿796-2,37.4939449225,127.038913258
224,Point_224,20,º¸¾Èµî,¿ª»ï1µ¿796-6,37.4937359261,127.03880006899999
225,Point_225,20,º¸¾Èµî,¿ª»ï1µ¿ 682-1,37.5093399628,127.042807491
226,Point_226,20,º¸¾Èµî,¿ª»ï1µ¿ 684-21,37.508947138,127.042771074
227,Point_227,20,º¸¾Èµî,¿ª»ï1µ¿ 684-7,37.508691519,127.04202897399999
228,Point_228,20,º¸¾Èµî,¿ª»ï1µ¿796-11,37.4936133087,127.03904425799999
229,Point_229,20,º¸¾Èµî,¿ª»ï1µ¿795-3,37.493772127199996,127.03830705799999
230,Point_230,20,º¸¾Èµî,¿ª»ï1µ¿792-59,37.4939703956,127.038162416
231,Point_231,20,º¸¾Èµî,¿ª»ï1µ¿792-82,37.493934403400004,127.038013132
232,Point_232,20,º¸¾Èµî,¿ª»ï1µ¿792-5,37.4932683136,127.035918562
233,Point_233,20,º¸¾Èµî,¿ª»ï1µ¿792-76,37.4938839863,127.037890979
234,Point_234,20,º¸¾Èµî,¿ª»ï1µ¿792-75,37.49405701,127.037796079
235,Point_235,20,º¸¾Èµî,¿ª»ï1µ¿792-81,37.4937507757,127.03745668399999
236,Point_236,20,º¸¾Èµî,¿ª»ï1µ¿794-5,37.493393966999996,127.037488168
237,Point_237,20,º¸¾Èµî,¿ª»ï1µ¿795-8,37.4932568942,127.037863524
238,Point_238,20,º¸¾Èµî,¿ª»ï1µ¿795-13,37.4932063505,127.03813488799999
239,Point_239,20,º¸¾Èµî,¿ª»ï1µ¿794-12,37.4930947866,127.03763276
240,Point_240,20,º¸¾Èµî,¿ª»ï1µ¿ 619-10,37.5023850567,127.02791593
241,Point_241,20,º¸¾Èµî,¿ª»ï1µ¿ 622-22,37.5024101629,127.028427121
242,Point_242,20,º¸¾Èµî,¿ª»ï1µ¿ 622-21,37.5024966235,127.02857643700001
243,Point_243,20,º¸¾Èµî,¿ª»ï1µ¿ 622-17,37.5026082401,127.02901980600001
244,Point_244,20,º¸¾Èµî,¿ª»ï1µ¿ 622-16,37.5026911692,127.028870554
245,Point_245,20,º¸¾Èµî,¿ª»ï1µ¿ 622-11,37.502723515300005,127.029236991
246,Point_246,20,º¸¾Èµî,¿ª»ï1µ¿ 621-13,37.502446024499996,127.029159979
247,Point_247,20,º¸¾Èµî,¿ª»ï1µ¿ 621-33,37.501984657,127.029372414
248,Point_248,20,º¸¾Èµî,¿ª»ï1µ¿ 621-26,37.501959579099996,127.02876170399999
249,Point_249,20,º¸¾Èµî,¿ª»ï1µ¿ 620-24,37.5017395969,127.029318033
250,Point_250,20,º¸¾Èµî,¿ª»ï1µ¿ 620-21,37.501299967600005,127.02906906
251,Point_251,20,º¸¾Èµî,¿ª»ï1µ¿ 620-20,37.5014261173,127.029032919
252,Point_252,20,º¸¾Èµî,¿ª»ï1µ¿ 620-13,37.5013000318,127.02880668700001
253,Point_253,20,º¸¾Èµî,¿ª»ï1µ¿ 620-7,37.5012533538,127.028082884
254,Point_254,20,º¸¾Èµî,¿ª»ï1µ¿ 817-35,37.500705555100005,127.028028395
255,Point_255,20,º¸¾Èµî,¿ª»ï1µ¿ 817-1,37.5005975451,127.027557898
256,Point_256,20,º¸¾Èµî,¿ª»ï1µ¿ 817-25,37.5002548771,127.02875652600001
257,Point_257,20,º¸¾Èµî,¿ª»ï1µ¿ 817-17,37.4999883361,127.028105028
258,Point_258,20,º¸¾Èµî,¿ª»ï1µ¿ 817-16,37.5001144909,127.028046269
259,Point_259,20,º¸¾Èµî,¿ª»ï1µ¿ 690-40,37.5067235646,127.04247574600001
260,Point_260,20,º¸¾Èµî,¿ª»ï1µ¿ 690-41,37.5068784542,127.04270655799999
261,Point_261,20,º¸¾Èµî,¿ª»ï1µ¿ 690-14,37.5063200181,127.042185984
262,Point_262,20,º¸¾Èµî,¿ª»ï1µ¿ 689-23,37.505909287,127.041828361
263,Point_263,20,º¸¾Èµî,¿ª»ï1µ¿ 701,37.503861723200004,127.043161745
264,Point_264,20,º¸¾Èµî,¿ª»ï1µ¿ 703-5,37.5042505168,127.04435173899999
265,Point_265,20,º¸¾Èµî,¿ª»ï1µ¿ 703-8,37.5043188841,127.044641305
266,Point_266,20,º¸¾Èµî,¿ª»ï1µ¿ 704-45,37.504650127800005,127.04549651299999
267,Point_267,20,º¸¾Èµî,¿ª»ï1µ¿ 704-55,37.5047004196,127.04592178700001
268,Point_268,20,º¸¾Èµî,¿ª»ï1µ¿ 704-53,37.504743569,127.04617515
269,Point_269,20,º¸¾Èµî,¿ª»ï1µ¿ 704-51,37.5048804421,127.04637880899999
270,Point_270,20,º¸¾Èµî,¿ª»ï1µ¿ 697-45,37.5050244674,127.046722714
271,Point_271,20,º¸¾Èµî,¿ª»ï1µ¿ 696-5,37.5054134802,127.04727939700001
272,Point_272,20,º¸¾Èµî,¿ª»ï1µ¿ 696-18,37.505589908000005,127.04770023299999
273,Point_273,20,º¸¾Èµî,¿ª»ï1µ¿ 705-17,37.5050600218,127.04793513799999
274,Point_274,20,º¸¾Èµî,¿ª»ï1µ¿ 705-32,37.5050060367,127.047749625
275,Point_275,20,º¸¾Èµî,¿ª»ï1µ¿ 705-8,37.504894425100005,127.04746907299999
