,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN_CD,RN,LAT,LNG
482,11680,94,2,4166192,논현로71길,37.49492249802231,127.03873208054338
483,11680,94,3,4166192,논현로71길,37.4948174510037,127.0383855938225
484,11680,94,4,4166192,논현로71길,37.4947237979968,127.03807669035123
485,11680,94,5,4166192,논현로71길,37.494579766102866,127.03760162539226
486,11680,94,6,4166192,논현로71길,37.49454474343916,127.03748609683858
487,11680,94,7,4166192,논현로71길,37.49440055614112,127.03701054782871
488,11680,94,8,4166192,논현로71길,37.494348727813815,127.03683961392052
489,11680,94,9,4166192,논현로71길,37.4942553497905,127.03653164169386
490,11680,94,10,4166192,논현로71길,37.494187732583754,127.03630862780204
491,11680,94,11,4166192,논현로71길,37.494078663843446,127.03594890437982
492,11680,94,12,4166192,논현로71길,37.49393251702392,127.03546692616518
493,11680,95,0,4166188,논현로67길,37.49440488447542,127.03993719146587
494,11680,95,1,4166188,논현로67길,37.494166848957036,127.03915478276208
495,11680,95,2,4166188,논현로67길,37.494131968972376,127.03910537198013
496,11680,95,3,4166188,논현로67길,37.494109670269395,127.03907377761224
497,11680,95,4,4166188,논현로67길,37.49402040218876,127.03877987274143
498,11680,95,5,4166188,논현로67길,37.49390149394298,127.03838841158085
499,11680,95,6,4166188,논현로67길,37.4938295147137,127.03815145224783
500,11680,95,7,4166188,논현로67길,37.49374321462275,127.03786733236642
501,11680,95,8,4166188,논현로67길,37.49365887604787,127.03758969351655
502,11680,95,9,4166188,논현로67길,37.49364369143846,127.03753969393685
503,11680,95,10,4166188,논현로67길,37.493533042041854,127.0371754474259
504,11680,95,11,4166188,논현로67길,37.49338675593405,127.03669386603988
505,11680,95,12,4166188,논현로67길,37.49329996626415,127.03640814356814
506,11680,95,13,4166188,논현로67길,37.493130183421805,127.03584924273292
507,11680,95,14,4166188,논현로67길,37.49287776359083,127.03501833210592
508,11680,95,15,4166188,논현로67길,37.49282326779217,127.03483894363376
509,11680,95,16,4166188,논현로67길,37.492599529698374,127.03410247197684
510,11680,96,0,4166186,논현로65길,37.49337771839472,127.0394615198749
511,11680,96,1,4166186,논현로65길,37.49316039149165,127.03874326040962
512,11680,96,2,4166186,논현로65길,37.49297316786348,127.03812451718167
513,11680,96,3,4166186,논현로65길,37.492904203662675,127.03789658612146
514,11680,96,4,4166186,논현로65길,37.4926478027195,127.03704926166435
515,11680,96,5,4166186,논현로65길,37.4923912246682,127.03620135491522
516,11680,97,0,4166184,논현로63길,37.49349979814516,127.04036624673935
517,11680,97,1,4166184,논현로63길,37.49324700854296,127.0395232398532
518,11680,97,2,4166184,논현로63길,37.492421108184516,127.03909722114105
519,11680,97,3,4166184,논현로63길,37.49216604839919,127.03825282738916
520,11680,97,4,4166184,논현로63길,37.49195407001742,127.03755107216024
521,11680,97,5,4166184,논현로63길,37.491909713433145,127.03740423232232
522,11680,97,6,4166184,논현로63길,37.49165266127238,127.0365532681206
523,11680,97,7,4166184,논현로63길,37.49140350616436,127.03572851299735
524,11680,97,8,4166184,논현로63길,37.49112599927427,127.03480992083162
525,11680,122,0,4166110,논현로106길,37.50613336067611,127.03442871457682
526,11680,122,1,4166110,논현로106길,37.506282440340826,127.03494013080284
527,11680,122,2,4166110,논현로106길,37.506382263545554,127.0352827953745
528,11680,122,3,4166110,논현로106길,37.50621556561488,127.03536091630674
529,11680,122,4,4166110,논현로106길,37.50632367018107,127.03572637420369
530,11680,122,5,4166110,논현로106길,37.50642329460108,127.03606317011206
531,11680,122,6,4166110,논현로106길,37.50652688749658,127.0364133822491
532,11680,122,7,4166110,논현로106길,37.50662605090695,127.03674863031408
533,11680,122,8,4166110,논현로106길,37.50675522204161,127.03718532058474
534,11680,122,9,4166110,논현로106길,37.506963714215324,127.03789018614964
535,11680,122,10,4166110,논현로106길,37.50706344946271,127.03822737239942
536,11680,122,11,4166110,논현로106길,37.507174506295506,127.03860280408873
537,11680,122,12,4166110,논현로106길,37.50727657959307,127.03894789906846
538,11680,123,0,4166107,논현로102길,37.50473771998506,127.03508324355185
539,11680,123,1,4166107,논현로102길,37.50499006061279,127.03593520860784
540,11680,123,2,4166107,논현로102길,37.505102376043766,127.03631442714237
541,11680,123,3,4166107,논현로102길,37.50516212469172,127.03651616245456
542,11680,123,4,4166107,논현로102길,37.50528090292831,127.0366689662565
543,11680,123,5,4166107,논현로102길,37.50535707112317,127.03676695508851
544,11680,123,6,4166107,논현로102길,37.50544802506163,127.03707360359192
545,11680,123,7,4166107,논현로102길,37.50557436914362,127.037499609835
546,11680,123,8,4166107,논현로102길,37.50570291684704,127.03793302645686
547,11680,123,9,4166107,논현로102길,37.505844253712645,127.03840624986556
548,11680,123,10,4166107,논현로102길,37.50588274907336,127.0385351321798
549,11680,123,11,4166107,논현로102길,37.50595001885629,127.03876036548125
550,11680,123,12,4166107,논현로102길,37.50599126795904,127.03889848961666
551,11680,123,13,4166107,논현로102길,37.506185054687684,127.03954735045461
552,11680,123,14,4166107,논현로102길,37.506292292429286,127.03990642374362
553,11680,124,0,4166209,논현로98길,37.50347024176321,127.03567748236749
554,11680,124,1,4166209,논현로98길,37.50360114570362,127.03611807757562
555,11680,124,2,4166209,논현로98길,37.50372318200557,127.03652885851614
556,11680,124,3,4166209,논현로98길,37.50389737693947,127.03711522214783
557,11680,124,4,4166209,논현로98길,37.50410072219227,127.03779970107385
558,11680,124,5,4166209,논현로98길,37.504103091066625,127.03780214506973
559,11680,124,6,4166209,논현로98길,37.504634303079364,127.03835020373646
560,11680,125,0,4166206,논현로94길,37.502149810919995,127.03629447590086
561,11680,125,1,4166206,논현로94길,37.502426950486814,127.0371362490909
562,11680,125,2,4166206,논현로94길,37.502619325216145,127.03772057710437
563,11680,125,3,4166206,논현로94길,37.50284253599752,127.03839872256735
564,11680,125,4,4166206,논현로94길,37.502957483932306,127.03874795423751
565,11680,125,5,4166206,논현로94길,37.50307107163427,127.03909306969935
566,11680,126,0,4166202,논현로86길,37.499361668059024,127.03762479094614
567,11680,126,1,4166202,논현로86길,37.499663808681966,127.03855712239601
568,11680,126,2,4166202,논현로86길,37.5000720953156,127.03893182896047
569,11680,126,3,4166202,논현로86길,37.5001201586406,127.0389759010599
570,11680,126,4,4166202,논현로86길,37.500257272159075,127.03940118451882
571,11680,126,5,4166202,논현로86길,37.500413340079724,127.03988530828128
572,11680,126,6,4166202,논현로86길,37.50057179123577,127.0403767974237
573,11680,127,0,4166199,논현로80길,37.49785710959833,127.03832023198392
574,11680,127,1,4166199,논현로80길,37.498141155214164,127.03927306350955
575,11680,127,2,4166199,논현로80길,37.498289407718005,127.03977059267845
576,11680,127,3,4166199,논현로80길,37.49843496708768,127.0402591207498
577,11680,127,4,4166199,논현로80길,37.498580281621045,127.04074627093307
578,11680,127,5,4166199,논현로80길,37.49872854599495,127.04124360237628
579,11680,128,0,4166196,논현로76길,37.49671178816369,127.03886053816535
580,11680,128,1,4166196,논현로76길,37.496996605043314,127.03981119766756
581,11680,128,2,4166196,논현로76길,37.49716869097924,127.0401583190331
582,11680,128,3,4166196,논현로76길,37.49744856253187,127.04072289234418
583,11680,128,4,4166196,논현로76길,37.49767172490662,127.04117306543723
584,11680,128,5,4166196,논현로76길,37.49789986466654,127.04163329717493
585,11680,129,0,4166193,논현로72길,37.49517733868677,127.03957439222869
586,11680,129,1,4166193,논현로72길,37.49556793379046,127.04036842617627
587,11680,129,2,4166193,논현로72길,37.49577126981928,127.04078180216176
588,11680,129,3,4166193,논현로72길,37.49603796439231,127.04132396989763
589,11680,129,4,4166193,논현로72길,37.49651141762036,127.04228650470402
590,11680,130,0,4166191,논현로70길,37.49526075398784,127.04051145091663
591,11680,130,1,4166191,논현로70길,37.495501981076146,127.04131451447931
592,11680,130,2,4166191,논현로70길,37.495570605100525,127.04154297657206
593,11680,130,3,4166191,논현로70길,37.49572931615277,127.04207134765909
594,11680,130,4,4166191,논현로70길,37.4958828140703,127.04258240519695
595,11680,131,0,4166189,논현로68길,37.49440488447542,127.03993719146587
596,11680,131,1,4166189,논현로68길,37.494659298120325,127.04079151036957
597,11680,131,2,4166189,논현로68길,37.49479934537673,127.04126181913794
598,11680,131,3,4166189,논현로68길,37.49496616485534,127.04182203218964
599,11680,131,4,4166189,논현로68길,37.49506779780259,127.04216332081887
600,11680,131,5,4166189,논현로68길,37.495128994878804,127.04236884541875
601,11680,131,6,4166189,논현로68길,37.495169150777535,127.04250367164397
602,11680,131,7,4166189,논현로68길,37.49527744131522,127.04286734463257
603,11680,132,0,4166187,논현로66길,37.494065951793154,127.04106778144
604,11680,132,1,4166187,논현로66길,37.494260645274494,127.04171889722748
605,11680,132,2,4166187,논현로66길,37.494373321594765,127.0420957295867
606,11680,132,3,4166187,논현로66길,37.49448596971168,127.04247247259802
607,11680,132,4,4166187,논현로66길,37.49458195860445,127.04279349278403
608,11680,132,5,4166187,논현로66길,37.49459215500705,127.04282760348737
609,11680,132,6,4166187,논현로66길,37.49468658604055,127.04314341069782
610,11680,133,0,4166185,논현로64길,37.49349979814516,127.04036624673935
611,11680,133,1,4166185,논현로64길,37.49376278113923,127.04120894807855
612,11680,133,2,4166185,논현로64길,37.493614096381734,127.04208952919123
613,11680,133,3,4166185,논현로64길,37.49371017042337,127.04240187202576
614,11680,133,4,4166185,논현로64길,37.49380029476773,127.04269488713149
615,11680,133,5,4166185,논현로64길,37.49392453629886,127.04309880759881
616,11680,133,6,4166185,논현로64길,37.494032280161576,127.04344912039151
617,11680,165,0,4166562,언주로107길,37.50777081252229,127.03937288314808
618,11680,165,1,4166562,언주로107길,37.5075581738499,127.03867367013272
619,11680,165,2,4166562,언주로107길,37.50755932424349,127.03760766831967
620,11680,165,3,4166562,언주로107길,37.50755938612182,127.03755254336006
621,11680,165,4,4166562,언주로107길,37.507419876696645,127.03710328877501
622,11680,165,5,4166562,언주로107길,37.50728753063395,127.03667711155602
623,11680,165,6,4166562,언주로107길,37.50719065171188,127.03635493599559
