,SIG_CD,RDS_MAN_NO,RDS_MAN_NO2,RN_CD,RN,LAT,LNG,총밝기
1688,11680,1173,0,4166718,테헤란로13길,37.50166495994336,127.03176450695786,0
1689,11680,1173,1,4166718,테헤란로13길,37.50139838538282,127.03089226571808,280
1690,11680,1174,0,4166037,강남대로94길,37.50034222353847,127.03140423660506,210
1691,11680,1174,1,4166037,강남대로94길,37.50091824821918,127.03112500927764,1080
1692,11680,1174,2,4166037,강남대로94길,37.50139838538282,127.03089226571808,280
1693,11680,1175,0,4166037,강남대로94길,37.500468609402304,127.03181776447028,770
1694,11680,1175,1,4166037,강남대로94길,37.50103856953067,127.03154560556332,840
1695,11680,1175,2,4166037,강남대로94길,37.50091824821918,127.03112500927764,1080
1696,11680,1176,0,4166718,테헤란로13길,37.50201760024698,127.03159385805687,800
1697,11680,1176,1,4166718,테헤란로13길,37.501898077244675,127.03122413641171,840
1698,11680,1176,2,4166718,테헤란로13길,37.50180209565556,127.0310733701426,560
1699,11680,1177,0,4166718,테헤란로13길,37.500223776243416,127.03246189986449,210
1700,11680,1177,1,4166718,테헤란로13길,37.500476496992505,127.03327809133036,280
1701,11680,1177,2,4166718,테헤란로13길,37.500672329487536,127.03334341573203,280
1702,11680,1178,0,4166208,논현로97길,37.5029829672899,127.03403727327336,1120
1703,11680,1178,1,4166208,논현로97길,37.50245464428519,127.03428226239187,800
1704,11680,1178,2,4166208,논현로97길,37.502141092476634,127.03442765207436,840
1705,11680,1179,0,4166721,테헤란로19길,37.50221603117871,127.03296239660664,520
1706,11680,1179,1,4166721,테헤란로19길,37.50218646124217,127.03312808660169,1400
1707,11680,1179,2,4166721,테헤란로19길,37.50227086813869,127.03335784622,1400
1708,11680,1179,3,4166721,테헤란로19길,37.50227661136672,127.03364307832987,1120
1709,11680,1179,4,4166721,테헤란로19길,37.502276629266746,127.03364351939688,1120
1710,11680,1179,5,4166721,테헤란로19길,37.50227967452144,127.03371015458968,840
1711,11680,1179,6,4166721,테헤란로19길,37.50245464428519,127.03428226239187,800
1712,11680,1180,0,4166721,테헤란로19길,37.50350651097809,127.03273225999786,840
1713,11680,1180,1,4166721,테헤란로19길,37.50320545185769,127.03172555696213,1120
1714,11680,1181,0,4166005,강남대로110길,37.503056229476,127.03129596845015,520
1715,11680,1181,1,4166005,강남대로110길,37.50369301501808,127.03127592093482,560
1716,11680,1181,2,4166005,강남대로110길,37.503695357633006,127.03127584269855,560
1717,11680,1182,0,4166648,역삼로3길,37.49489647402473,127.03112919065521,560
1718,11680,1182,1,4166648,역삼로3길,37.49514553932705,127.03193693883252,840
1719,11680,1183,0,4166648,역삼로3길,37.494754811033246,127.03119636125544,840
1720,11680,1183,1,4166648,역삼로3길,37.494511453198,127.03038775122242,560
1721,11680,1184,0,4166743,테헤란로4길,37.49596159889127,127.0306241432292,280
1722,11680,1184,1,4166743,테헤란로4길,37.495715102095744,127.02981393770337,280
1723,11680,1185,0,4166719,테헤란로14길,37.496715631484975,127.03412619853313,560
1724,11680,1185,1,4166719,테헤란로14길,37.49645938601178,127.03330442341185,800
1725,11680,1186,0,4166719,테헤란로14길,37.49710830192701,127.03394079786696,490
1726,11680,1186,1,4166719,테헤란로14길,37.49728422533486,127.03454679254857,1120
1727,11680,1188,0,3122008,역삼로,37.50343359430176,127.05968865229931,0
1728,11680,1188,1,3122008,역삼로,37.504108540013206,127.05934190678444,0
1729,11680,1189,0,3122008,역삼로,37.50291980149163,127.05810906695642,0
1730,11680,1189,1,3122008,역삼로,37.50359109271671,127.0577641502832,0
1731,11680,1190,0,3122008,역삼로,37.502770447686295,127.05764601987978,0
1732,11680,1190,1,3122008,역삼로,37.50343787012502,127.0573056997882,0
1733,11680,1191,0,3122008,역삼로,37.50262051498512,127.05718390157713,0
1734,11680,1191,1,3122008,역삼로,37.503283098198814,127.05684262449304,0
1735,11680,1192,0,3122008,역삼로,37.50177059655786,127.05457473916721,0
1736,11680,1192,1,3122008,역삼로,37.502431471128716,127.05422969832502,0
1737,11680,1221,0,4166224,도곡로27길,37.492881920175854,127.04241988619823,0
1738,11680,1221,1,4166224,도곡로27길,37.49361409638173,127.04208952919123,450
1739,11680,1221,2,4166224,도곡로27길,37.49371017042337,127.04240187202576,240
1740,11680,1221,3,4166224,도곡로27길,37.49437332159477,127.04209572958669,240
1741,11680,1221,4,4166224,도곡로27길,37.49496616485534,127.04182203218964,0
1742,11680,1221,5,4166224,도곡로27길,37.49557060510053,127.04154297657206,240
1743,11680,1221,6,4166224,도곡로27길,37.496037964392315,127.04132396989763,240
1744,11680,1225,0,4166109,논현로105길,37.50595648287354,127.03385203100706,800
1745,11680,1225,1,4166109,논현로105길,37.50667277046343,127.03350868934095,280
1746,11680,1226,0,4166344,봉은사로26길,37.50505806337463,127.03397785904188,280
1747,11680,1226,1,4166344,봉은사로26길,37.504991494634204,127.03375854794292,490
1748,11680,1226,2,4166344,봉은사로26길,37.50475557085115,127.03355049710859,490
1749,11680,1227,0,4166721,테헤란로19길,37.50464684827273,127.03130916512954,840
1750,11680,1227,1,4166721,테헤란로19길,37.50390208761688,127.03067783533922,560
1751,11680,1227,2,4166721,테헤란로19길,37.50389903387831,127.03067522166668,560
1752,11680,1228,0,4166633,역삼로14길,37.49415749135094,127.0353597264886,490
1753,11680,1228,1,4166633,역삼로14길,37.493896013361685,127.03452779573105,560
1754,11680,1244,0,4166037,강남대로94길,37.49982210781679,127.02970243289336,800
1755,11680,1244,1,4166037,강남대로94길,37.501131515861566,127.02907141691587,840
1756,11680,1245,0,4166749,테헤란로5길,37.50109000358811,127.02904679320257,560
1757,11680,1245,1,4166749,테헤란로5길,37.50141502050703,127.02889293935542,840
1758,11680,1245,2,4166749,테헤란로5길,37.501681862397305,127.02876662339027,520
1759,11680,1245,3,4166749,테헤란로5길,37.501685052286405,127.02876508650856,520
1760,11680,1246,0,4166038,강남대로96길,37.49986628998051,127.02804138299332,840
